date,city,temperature_c,humidity,precipitation_mm
2023-11-26,"Durham, North Carolina",6.9,71,0.0
2023-11-27,"Durham, North Carolina",8.2,66,1.95
2023-11-28,"Durham, North Carolina",3.3,47,0.0
2023-11-29,"Durham, North Carolina",1.7,41,0.0
2023-11-30,"Durham, North Carolina",5.4,52,0.0
2023-12-01,"Durham, North Carolina",9.0,81,0.0
2023-12-02,"Durham, North Carolina",15.9,94,4.78
2023-12-03,"Durham, North Carolina",17.4,83,0.09
2023-12-04,"Durham, North Carolina",12.5,61,0.0
2023-12-05,"Durham, North Carolina",8.4,66,0.0
2023-12-06,"Durham, North Carolina",6.7,69,0.08
2023-12-07,"Durham, North Carolina",4.8,59,0.0
2023-12-08,"Durham, North Carolina",8.7,55,0.0
2023-12-09,"Durham, North Carolina",13.0,77,0.0
2023-12-10,"Durham, North Carolina",15.9,94,34.8
2023-12-11,"Durham, North Carolina",4.6,71,17.63
2023-12-12,"Durham, North Carolina",4.0,63,0.0
2023-12-13,"Durham, North Carolina",5.6,69,0.0
2023-12-14,"Durham, North Carolina",4.3,64,0.0
2023-12-15,"Durham, North Carolina",5.6,55,0.0
2023-12-16,"Durham, North Carolina",6.9,58,0.0
2023-12-17,"Durham, North Carolina",10.7,91,48.6
2023-12-18,"Durham, North Carolina",9.6,70,2.1
2023-12-19,"Durham, North Carolina",1.5,53,0.0
2023-12-20,"Durham, North Carolina",2.4,56,0.0
2023-12-21,"Durham, North Carolina",4.5,57,0.0
2023-12-22,"Durham, North Carolina",5.3,65,0.0
2023-12-23,"Durham, North Carolina",6.7,67,0.0
2023-12-24,"Durham, North Carolina",9.4,72,0.0
2023-12-25,"Durham, North Carolina",10.6,84,0.81
2023-12-26,"Durham, North Carolina",13.4,95,12.49
2023-12-27,"Durham, North Carolina",13.9,97,8.98
2023-12-28,"Durham, North Carolina",12.1,82,0.17
2023-12-29,"Durham, North Carolina",6.0,70,0.01
2023-12-30,"Durham, North Carolina",3.5,68,0.0
2023-12-31,"Durham, North Carolina",4.4,70,0.0
2024-01-01,"Durham, North Carolina",5.4,71,0.0
2024-01-02,"Durham, North Carolina",3.1,63,0.0
2024-01-03,"Durham, North Carolina",4.5,69,0.03
2024-01-04,"Durham, North Carolina",4.8,67,0.03
2024-01-05,"Durham, North Carolina",1.0,55,0.0
2024-01-06,"Durham, North Carolina",4.4,87,8.07
2024-01-07,"Durham, North Carolina",6.6,78,0.03
2024-01-08,"Durham, North Carolina",3.2,69,0.0
2024-01-09,"Durham, North Carolina",10.2,91,66.34
2024-01-10,"Durham, North Carolina",6.7,72,0.04
2024-01-11,"Durham, North Carolina",5.4,78,0.0
2024-01-12,"Durham, North Carolina",8.2,79,2.64
2024-01-13,"Durham, North Carolina",7.7,61,0.92
2024-01-14,"Durham, North Carolina",4.2,59,0.0
2024-01-15,"Durham, North Carolina",1.1,65,1.63
2024-01-16,"Durham, North Carolina",1.4,79,0.0
2024-01-17,"Durham, North Carolina",-2.5,42,0.0
2024-01-18,"Durham, North Carolina",1.7,49,0.34
2024-01-19,"Durham, North Carolina",2.4,68,0.93
2024-01-20,"Durham, North Carolina",-3.4,46,0.0
2024-01-21,"Durham, North Carolina",-2.9,45,0.0
2024-01-22,"Durham, North Carolina",0.1,49,0.0
2024-01-23,"Durham, North Carolina",4.7,79,0.01
2024-01-24,"Durham, North Carolina",11.6,95,0.09
2024-01-25,"Durham, North Carolina",16.7,96,41.25
2024-01-26,"Durham, North Carolina",17.1,97,23.21
2024-01-27,"Durham, North Carolina",15.4,96,5.89
2024-01-28,"Durham, North Carolina",12.9,85,4.63
2024-01-29,"Durham, North Carolina",6.6,65,0.0
2024-01-30,"Durham, North Carolina",4.5,73,0.01
2024-01-31,"Durham, North Carolina",5.5,91,6.16
2024-02-01,"Durham, North Carolina",6.5,79,0.0
2024-02-02,"Durham, North Carolina",8.3,72,0.01
2024-02-03,"Durham, North Carolina",4.5,67,0.0
2024-02-04,"Durham, North Carolina",4.7,64,0.0
2024-02-05,"Durham, North Carolina",4.9,63,0.0
2024-02-06,"Durham, North Carolina",3.8,65,0.0
2024-02-07,"Durham, North Carolina",3.3,61,0.0
2024-02-08,"Durham, North Carolina",5.7,61,0.0
2024-02-09,"Durham, North Carolina",8.2,71,0.0
2024-02-10,"Durham, North Carolina",14.7,81,1.54
2024-02-11,"Durham, North Carolina",13.7,88,1.3
2024-02-12,"Durham, North Carolina",10.8,98,51.52
2024-02-13,"Durham, North Carolina",10.4,70,9.87
2024-02-14,"Durham, North Carolina",6.4,64,0.0
2024-02-15,"Durham, North Carolina",9.4,68,0.0
2024-02-16,"Durham, North Carolina",9.9,68,0.0
2024-02-17,"Durham, North Carolina",5.8,64,0.09
2024-02-18,"Durham, North Carolina",2.6,55,0.0
2024-02-19,"Durham, North Carolina",4.9,57,0.0
2024-02-20,"Durham, North Carolina",4.9,63,0.0
2024-02-21,"Durham, North Carolina",5.4,66,0.0
2024-02-22,"Durham, North Carolina",8.8,63,0.94
2024-02-23,"Durham, North Carolina",11.1,78,5.47
2024-02-24,"Durham, North Carolina",7.5,76,1.14
2024-02-25,"Durham, North Carolina",5.7,64,0.04
2024-02-26,"Durham, North Carolina",10.2,60,0.18
2024-02-27,"Durham, North Carolina",11.1,74,2.01
2024-02-28,"Durham, North Carolina",15.1,70,3.72
2024-02-29,"Durham, North Carolina",5.3,50,0.0
2024-03-01,"Durham, North Carolina",5.4,77,11.38
2024-03-02,"Durham, North Carolina",10.8,90,7.27
2024-03-03,"Durham, North Carolina",13.5,81,0.05
2024-03-04,"Durham, North Carolina",13.6,82,0.98
2024-03-05,"Durham, North Carolina",14.5,74,0.0
2024-03-06,"Durham, North Carolina",13.3,90,33.9
2024-03-07,"Durham, North Carolina",13.7,84,7.58
2024-03-08,"Durham, North Carolina",12.1,75,0.0
2024-03-09,"Durham, North Carolina",12.2,92,13.81
2024-03-10,"Durham, North Carolina",9.4,57,0.0
2024-03-11,"Durham, North Carolina",7.1,46,0.0
2024-03-12,"Durham, North Carolina",11.0,52,0.0
2024-03-13,"Durham, North Carolina",14.4,55,0.0
2024-03-14,"Durham, North Carolina",16.4,58,0.0
2024-03-15,"Durham, North Carolina",17.2,72,0.15
2024-03-16,"Durham, North Carolina",14.8,82,2.23
2024-03-17,"Durham, North Carolina",15.9,70,0.15
2024-03-18,"Durham, North Carolina",9.9,44,0.11
2024-03-19,"Durham, North Carolina",6.2,46,0.0
2024-03-20,"Durham, North Carolina",11.4,53,0.0
2024-03-21,"Durham, North Carolina",9.4,46,0.0
2024-03-22,"Durham, North Carolina",9.2,78,8.3
2024-03-23,"Durham, North Carolina",12.5,94,27.52
2024-03-24,"Durham, North Carolina",6.6,54,0.0
2024-03-25,"Durham, North Carolina",7.5,58,0.0
2024-03-26,"Durham, North Carolina",8.9,65,0.0
2024-03-27,"Durham, North Carolina",11.8,91,30.81
2024-03-28,"Durham, North Carolina",10.9,87,16.29
2024-03-29,"Durham, North Carolina",10.4,63,0.0
2024-03-30,"Durham, North Carolina",14.2,61,0.0
2024-03-31,"Durham, North Carolina",18.4,66,0.0
2024-04-01,"Durham, North Carolina",20.1,71,0.02
2024-04-02,"Durham, North Carolina",22.0,71,0.0
2024-04-03,"Durham, North Carolina",18.5,70,18.73
2024-04-04,"Durham, North Carolina",9.5,55,0.19
2024-04-05,"Durham, North Carolina",8.6,57,0.0
2024-04-06,"Durham, North Carolina",7.9,55,0.0
2024-04-07,"Durham, North Carolina",9.3,58,0.0
2024-04-08,"Durham, North Carolina",15.2,57,0.0
2024-04-09,"Durham, North Carolina",16.9,73,0.09
2024-04-10,"Durham, North Carolina",18.9,76,0.76
2024-04-11,"Durham, North Carolina",17.7,92,39.75
2024-04-12,"Durham, North Carolina",14.9,64,0.3
2024-04-13,"Durham, North Carolina",14.1,50,0.0
2024-04-14,"Durham, North Carolina",16.6,58,0.0
2024-04-15,"Durham, North Carolina",20.9,64,0.03
2024-04-16,"Durham, North Carolina",20.1,83,5.09
2024-04-17,"Durham, North Carolina",20.4,76,0.0
2024-04-18,"Durham, North Carolina",21.5,59,0.0
2024-04-19,"Durham, North Carolina",20.4,64,3.25
2024-04-20,"Durham, North Carolina",17.2,67,0.0
2024-04-21,"Durham, North Carolina",11.2,67,7.2
2024-04-22,"Durham, North Carolina",10.3,66,0.0
2024-04-23,"Durham, North Carolina",13.0,52,0.0
2024-04-24,"Durham, North Carolina",16.2,59,0.0
2024-04-25,"Durham, North Carolina",14.6,60,0.0
2024-04-26,"Durham, North Carolina",12.9,67,0.0
2024-04-27,"Durham, North Carolina",17.2,70,0.0
2024-04-28,"Durham, North Carolina",19.8,72,0.0
2024-04-29,"Durham, North Carolina",20.3,68,0.0
2024-04-30,"Durham, North Carolina",20.6,68,1.71
2024-05-01,"Durham, North Carolina",20.0,83,5.13
2024-05-02,"Durham, North Carolina",22.0,62,0.0
2024-05-03,"Durham, North Carolina",22.9,65,0.31
2024-05-04,"Durham, North Carolina",19.0,92,4.89
2024-05-05,"Durham, North Carolina",20.1,86,3.65
2024-05-06,"Durham, North Carolina",20.0,91,6.76
2024-05-07,"Durham, North Carolina",23.1,76,6.39
2024-05-08,"Durham, North Carolina",24.7,71,1.23
2024-05-09,"Durham, North Carolina",22.1,86,6.6
2024-05-10,"Durham, North Carolina",19.8,78,7.0
2024-05-11,"Durham, North Carolina",16.1,58,0.0
2024-05-12,"Durham, North Carolina",16.6,57,0.0
2024-05-13,"Durham, North Carolina",18.0,57,0.0
2024-05-14,"Durham, North Carolina",18.0,94,13.45
2024-05-15,"Durham, North Carolina",19.7,89,5.46
2024-05-16,"Durham, North Carolina",18.7,80,0.19
2024-05-17,"Durham, North Carolina",21.9,74,3.38
2024-05-18,"Durham, North Carolina",19.7,94,8.16
2024-05-19,"Durham, North Carolina",16.6,88,10.13
2024-05-20,"Durham, North Carolina",19.9,71,0.0
2024-05-21,"Durham, North Carolina",21.1,70,0.0
2024-05-22,"Durham, North Carolina",23.3,67,0.0
2024-05-23,"Durham, North Carolina",23.3,72,9.73
2024-05-24,"Durham, North Carolina",23.6,73,0.22
2024-05-25,"Durham, North Carolina",24.1,71,3.45
2024-05-26,"Durham, North Carolina",24.9,66,0.31
2024-05-27,"Durham, North Carolina",23.8,82,15.47
2024-05-28,"Durham, North Carolina",23.1,63,0.0
