date,city,temperature_c,humidity,precipitation_mm
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
2024-12-04,"Durham, North Carolina",-2.2,46,0.0
2024-11-25,"Durham, North Carolina",11.2,76,0.0
2024-11-26,"Durham, North Carolina",14.3,73,0.0
2024-11-27,"Durham, North Carolina",9.5,56,0.0
2024-11-28,"Durham, North Carolina",11.6,89,20.76
2024-11-29,"Durham, North Carolina",6.7,82,7.48
2024-11-30,"Durham, North Carolina",3.6,62,0.0
2024-12-01,"Durham, North Carolina",6.2,63,0.0
2024-12-02,"Durham, North Carolina",2.8,54,0.0
2024-12-03,"Durham, North Carolina",-1.3,44,0.0
